instance,coeff,error_subg,error_bundle
ijcnn1,0.001,-2.886579864025407e-12,-2.8866908863278695e-12
ijcnn1,0.01,-1.5797896324443172e-10,-1.579792963113391e-10
ijcnn1,0.1,-1.2057577158941513e-11,-1.2057799203546438e-11
ijcnn1,0.5,-1.1122103238392356e-11,-1.1122214260694818e-11
ijcnn1,1.0,-1.9461765532469144e-11,-1.946198757707407e-11
ijcnn1,1.5,-6.691314169415818e-13,-6.692424392440444e-13
ijcnn1,2.0,-2.481348460037225e-13,-2.483568906086475e-13
ijcnn1,10.0,-1.4593659614092758e-11,-1.459377063639522e-11
colon-cancer,0.001,0.00047869258517306643,4.0518239490163616e-6
colon-cancer,0.01,0.0005823361914150706,0.0002143890507769891
colon-cancer,0.1,0.0007276656893160371,0.00022778946317533744
colon-cancer,0.5,3.0242392772938942e-5,5.1238947989917794e-5
colon-cancer,1.0,8.30821993880182e-6,7.59957912876974e-6
colon-cancer,1.5,3.89410265655421e-6,3.687670456442582e-6
colon-cancer,2.0,6.98744795379902e-6,1.7325967458514668e-6
colon-cancer,10.0,-6.0886851116492835e-12,-6.0886851116492835e-12
duke,0.001,0.0005393730084800927,7.361201468417632e-7
duke,0.01,0.00030584093775771256,8.34817345365729e-6
duke,0.1,0.00036850574528259766,2.1773976605264644e-5
duke,0.5,0.00031746505912950973,0.0002449325598836427
duke,1.0,0.00034643488659316657,0.0003085118425473765
duke,1.5,0.000183445862377285,0.0001658946889235291
duke,2.0,0.00015948634464624245,0.0001014605528580903
duke,10.0,5.687315890123834e-6,2.284950806563657e-6
leu,0.001,0.0012159643574983935,2.764389856406939e-7
leu,0.01,0.0002134640686950039,4.06864905078499e-6
leu,0.1,0.0003879752725977608,1.2210982405279e-5
leu,0.5,0.00020713846808877168,0.00018007994877153322
leu,1.0,0.00028777521097993197,0.00019873926008279197
leu,1.5,0.0002825650305436078,0.00020462191986708733
leu,2.0,0.00013640793260771833,0.00014288037647633423
leu,10.0,4.283026862061945e-6,3.0459006740146677e-6
